,Symbol,Order,Shares
2010-08-25,IBM,BUY,100
2010-09-03,IBM,SELL,100
2010-11-08,IBM,SELL,100
2010-11-16,IBM,BUY,100
2010-12-30,IBM,SELL,100
2011-02-22,IBM,BUY,100
2011-03-18,IBM,BUY,100
2011-03-24,IBM,SELL,100
2011-04-25,IBM,SELL,100
2011-05-23,IBM,BUY,100
2011-06-06,IBM,BUY,100
2011-06-21,IBM,SELL,100
2011-07-07,IBM,SELL,100
2011-08-02,IBM,BUY,100
2011-08-09,IBM,BUY,100
2011-08-26,IBM,SELL,100
2011-10-11,IBM,SELL,100
2011-10-18,IBM,BUY,100
2011-11-28,IBM,BUY,100
2011-11-30,IBM,SELL,100
2012-01-25,IBM,SELL,100
2012-04-05,IBM,BUY,100
2012-04-11,IBM,BUY,100
2012-04-17,IBM,SELL,100
2012-04-20,IBM,BUY,100
2012-04-26,IBM,SELL,100
2012-06-05,IBM,BUY,100
2012-06-14,IBM,SELL,100
